0u, 0
0.001u, 0
20u, 0
20.001u, 0
40u, 0
40.001u, 0
60u, 0
60.001u, 1
80u, 1
80.001u, 1
100u, 1
100.001u, 1
120u, 1
120.001u, 1
140u, 1
140.001u, 1
160u, 1
160.001u, 0
180u, 0
180.001u, 1
200u, 1
200.001u, 1
220u, 1
220.001u, 1
240u, 1
240.001u, 1
260u, 1
260.001u, 1
280u, 1
280.001u, 1
300u, 1
300.001u, 1
320u, 1
320.001u, 0
340u, 0
340.001u, 0
360u, 0
360.001u, 0
380u, 0
380.001u, 0
400u, 0
400.001u, 1
420u, 1
420.001u, 1
440u, 1
440.001u, 1
460u, 1
460.001u, 1
480u, 1
480.001u, 1
500u, 1
500.001u, 0
520u, 0
520.001u, 1
540u, 1
540.001u, 1
560u, 1
560.001u, 1
580u, 1
580.001u, 1
600u, 1
600.001u, 1
620u, 1
620.001u, 1
640u, 1
640.001u, 1
660u, 1
660.001u, 0
680u, 0
680.001u, 0
700u, 0
700.001u, 0
720u, 0
720.001u, 0
740u, 0
740.001u, 1
760u, 1
760.001u, 1
780u, 1
780.001u, 1
800u, 1
800.001u, 1
820u, 1
820.001u, 1
840u, 1
840.001u, 0
860u, 0
860.001u, 1
880u, 1
880.001u, 1
900u, 1
900.001u, 1
920u, 1
920.001u, 1
940u, 1
940.001u, 1
960u, 1
960.001u, 1
980u, 1
980.001u, 1
1000u, 1
1000.001u, 0
1020u, 0
1020.001u, 0
1040u, 0
1040.001u, 0
1060u, 0
1060.001u, 0
1080u, 0
1080.001u, 1
1100u, 1
1100.001u, 1
1120u, 1
1120.001u, 1
1140u, 1
1140.001u, 1
1160u, 1
1160.001u, 1
1180u, 1
1180.001u, 0
1200u, 0
1200.001u, 1
1220u, 1
1220.001u, 1
1240u, 1
1240.001u, 1
1260u, 1
1260.001u, 1
1280u, 1
1280.001u, 1
1300u, 1
1300.001u, 1
1320u, 1
1320.001u, 1
1340u, 1
1340.001u, 0
1360u, 0
1360.001u, 0
1380u, 0
1380.001u, 0
1400u, 0
1400.001u, 0
1420u, 0
1420.001u, 0
1440u, 0

