imageNr,layerNr,approx1,approx2,approx3,approx4,approx5,approx6,approx7,approx8
9,2,83496.0,138599.0,109803.0,65037.0,101906.0,100924.0,106050.0,105958.0
9,3,56480.0,94244.0,74092.0,43793.0,69365.0,68162.0,72037.0,71544.0
9,4,38578.0,65533.0,50637.0,33266.0,47087.0,48552.0,49321.0,50287.0
9,5,11221.0,16724.0,14217.0,11780.0,12967.0,14071.0,13296.0,14020.0
9,6,2646.0,3890.0,3222.0,2062.0,1844.0,2460.0,2260.0,2450.0
9,7,1184.0,1842.0,1670.0,1084.0,1035.0,1403.0,1240.0,1332.0
9,8,1034.0,1342.0,2230.0,1018.0,700.0,1720.0,2364.0,1882.0
10,1,326215.0,307903.0,343256.0,315004.0,214034.0,352989.0,375474.0,375856.0
10,2,110075.0,104349.0,116105.0,106287.0,72336.0,119022.0,126840.0,126644.0
10,3,74705.0,71170.0,78661.0,72116.0,49146.0,80722.0,86087.0,85601.0
10,4,51250.0,47835.0,55178.0,48138.0,35026.0,54696.0,60005.0,60143.0
10,5,14096.0,10998.0,16580.0,10703.0,10548.0,13104.0,17194.0,17129.0
10,6,3310.0,2620.0,3296.0,2822.0,1585.0,3247.0,3016.0,3158.0
10,7,1811.0,1394.0,1337.0,1625.0,537.0,1533.0,1237.0,1270.0
10,8,1367.0,1420.0,765.0,1262.0,566.0,1315.0,899.0,908.0
11,1,304439.0,297731.0,308458.0,307789.0,280666.0,343143.0,322300.0,322455.0
11,2,102819.0,98778.0,104040.0,103442.0,95159.0,115641.0,109084.0,108613.0
11,3,69902.0,67496.0,70392.0,70162.0,65208.0,78124.0,74529.0,73943.0
11,4,48684.0,48131.0,49880.0,50820.0,45493.0,54217.0,53190.0,53476.0
11,5,14072.0,12894.0,14993.0,15003.0,13034.0,14022.0,17360.0,17563.0
11,6,2394.0,2011.0,2602.0,1685.0,2198.0,1670.0,2617.0,2698.0
11,7,820.0,883.0,1294.0,817.0,749.0,674.0,1349.0,1434.0
11,8,1134.0,619.0,1344.0,516.0,941.0,801.0,889.0,943.0
12,1,300478.0,236308.0,254092.0,337137.0,243423.0,273850.0,291481.0,291643.0
12,2,101176.0,79206.0,85872.0,112816.0,82371.0,91900.0,98715.0,98160.0
12,3,68671.0,54185.0,58347.0,76757.0,56212.0,62437.0,67672.0,66941.0
12,4,47713.0,39413.0,41357.0,53685.0,37899.0,45344.0,47729.0,48163.0
12,5,14207.0,12021.0,13243.0,14883.0,8870.0,13312.0,15116.0,15756.0
12,6,1970.0,1944.0,2445.0,2138.0,2325.0,1973.0,2358.0,2362.0
12,7,1065.0,1136.0,1374.0,1311.0,1127.0,1100.0,1267.0,1323.0
12,8,562.0,494.0,879.0,1513.0,544.0,501.0,566.0,602.0
13,1,334444.0,318687.0,129625.0,152097.0,365886.0,295223.0,416760.0,417050.0
13,2,112612.0,107807.0,43970.0,51896.0,123721.0,99588.0,140890.0,140391.0
13,3,76349.0,73510.0,29582.0,35061.0,84032.0,67634.0,95902.0,95226.0
13,4,52820.0,49040.0,22365.0,27918.0,56370.0,48460.0,64209.0,64157.0
13,5,15102.0,11510.0,8145.0,10230.0,13956.0,14964.0,17657.0,17305.0
13,6,2792.0,2754.0,1105.0,1758.0,2412.0,3009.0,2942.0,3029.0
13,7,1611.0,1230.0,696.0,825.0,1269.0,1519.0,1386.0,1415.0
13,8,1439.0,1439.0,1624.0,905.0,956.0,2046.0,1844.0,1832.0
14,1,332099.0,241381.0,301993.0,209037.0,255299.0,232849.0,310479.0,310660.0
14,2,111570.0,80458.0,101741.0,70276.0,86313.0,77909.0,104848.0,104376.0
14,3,75773.0,55225.0,69182.0,47842.0,58891.0,52863.0,71528.0,70682.0
14,4,48825.0,39131.0,48346.0,36067.0,37756.0,37603.0,45614.0,46199.0
14,5,10042.0,9341.0,13384.0,11361.0,7607.0,9882.0,8429.0,8449.0
