a,b,c,a1,b1,c,s1
0,0,0,370.01,32.312,62.131,258.1
0,0,1,230.37,37.802,182.3,258.1
0,1,0,248.54,192.74,63.532,161.02
0,1,1,66.358,205.78,252.47,161.02
1,0,0,443.82,155.43,63.532,88.949
1,0,1,203.12,188.42,249.01,88.949
1,1,0,366.8,197.61,63.532,72.23
1,1,1,184.62,210.66,252.47,72.23
