a,b,c,a1,b1,c,s1,
0,0,0,"17,006","370,01","77,441","258,1","722,557"
0,0,1,"17,006",248.54p,"281,13","161,02","459,156"
0,1,0,"17,006","443,83","209,49","88,949","759,275"
0,1,1,"17,006","366,81","286,01","72,23","742,056"
1,0,0,"93,386","230,37","84,927","258,1","666,783"
1,0,1,"93,386","66,358","364,88","161,02","685,644"
1,1,0,"93,386","203,13","309,7","88,949","695,165"
1,1,1,"93,386","184,62","369,74","72,23","719,976"
,,,,,,,"5450,612"
