0u, 0
0.001u, 0
20u, 0
20.001u, 0
40u, 0
40.001u, 0
60u, 0
60.001u, -1
80u, -1
80.001u, 0
100u, 0
100.001u, 1
120u, 1
120.001u, 0
140u, 0
140.001u, 900m
160u, 900m
160.001u, 0
180u, 0
180.001u, 0
200u, 0
200.001u, 0
220u, 0
220.001u, 0
240u, 0
240.001u, -1
260u, -1
260.001u, 1
280u, 1
280.001u, 0
300u, 0
300.001u, 1
320u, 1
320.001u, 0
340u, 0
340.001u, 900m
360u, 900m
360.001u, 0
380u, 0
380.001u, 0
400u, 0
400.001u, 0
420u, 0
420.001u, 0
440u, 0
440.001u, 0
460u, 0
460.001u, 0
480u, 0
480.001u, 0
500u, 0
500.001u, -1
520u, -1
520.001u, 0
540u, 0
540.001u, 1
560u, 1
560.001u, 0
580u, 0
580.001u, 900m
600u, 900m
600.001u, 0
620u, 0
620.001u, 0
640u, 0
640.001u, 0
660u, 0
660.001u, 0
680u, 0
680.001u, -1
700u, -1
700.001u, 1
720u, 1
720.001u, 0
740u, 0
740.001u, 1
760u, 1
760.001u, 0
780u, 0
780.001u, 900m
800u, 900m
800.001u, 0
820u, 0
820.001u, 0
840u, 0
840.001u, 0
860u, 0
860.001u, 0
880u, 0
880.001u, 0
900u, 0
900.001u, 0
920u, 0
920.001u, 0
940u, 0
940.001u, -1
960u, -1
960.001u, 0
980u, 0
980.001u, 1
1000u, 1
1000.001u, 0
1020u, 0
1020.001u, 900m
1040u, 900m
1040.001u, 0
1060u, 0
1060.001u, 0
1080u, 0
1080.001u, 0
1100u, 0
1100.001u, 0
1120u, 0
1120.001u, -1
1140u, -1
1140.001u, 1
1160u, 1
1160.001u, 0
1180u, 0
1180.001u, 1
1200u, 1
1200.001u, 0
1220u, 0
1220.001u, 900m
1240u, 900m
1240.001u, 0
1260u, 0
1260.001u, 0
1280u, 0
1280.001u, 0
1300u, 0
1300.001u, 0
1320u, 0
1320.001u, 0
1340u, 0
1340.001u, 0
1360u, 0
1360.001u, 0
1380u, 0
1380.001u, 0
1400u, 0

