0u,0
0.001u,0
30u,0
30.001u,0
60u,0
60.001u,0
90u,0
90.001u,0
120u,0
120.001u,0
150u,0
150.001u,0
180u,0
180.001u,0
210u,0
210.001u,1
240u,1
240.001u,0
270u,0
270.001u,1
300u,1
300.001u,0
330u,0
330.001u,1
360u,1
360.001u,0
390u,0
390.001u,0
420u,0
420.001u,0
450u,0
450.001u,0
480u,0
480.001u,1
510u,1
510.001u,1
540u,1
540.001u,0
570u,0
570.001u,1
600u,1
600.001u,0
630u,0
630.001u,1
660u,1
660.001u,0
690u,0
690.001u,0
720u,0
720.001u,0
750u,0
750.001u,0
780u,0
780.001u,0
810u,0
810.001u,0
840u,0
840.001u,0
870u,0
870.001u,0
900u,0
900.001u,1
930u,1
930.001u,0
960u,0
960.001u,1
990u,1
990.001u,0
1020u,0
1020.001u,1
1050u,1
1050.001u,0
1080u,0
1080.001u,0
1110u,0
1110.001u,0
1140u,0
1140.001u,0
1170u,0
1170.001u,1
1200u,1
1200.001u,1
1230u,1
1230.001u,0
1260u,0
1260.001u,1
1290u,1
1290.001u,0
1320u,0
1320.001u,1
1350u,1
1350.001u,0
1380u,0
1380.001u,0
1410u,0
1410.001u,0
1440u,0
1440.001u,0
1470u,0
1470.001u,0
1500u,0
1500.001u,0
1530u,0
1530.001u,0
1560u,0
1560.001u,0
1590u,0
1590.001u,1
1620u,1
1620.001u,0
1650u,0
1650.001u,1
1680u,1
1680.001u,0
1710u,0
1710.001u,1
1740u,1
1740.001u,0
1770u,0
1770.001u,0
1800u,0
1800.001u,0
1830u,0
1830.001u,0
1860u,0
1860.001u,1
1890u,1
1890.001u,1
1920u,1
1920.001u,0
1950u,0
1950.001u,1
1980u,1
1980.001u,0
2010u,0
2010.001u,1
2040u,1
2040.001u,0
2070u,0
2070.001u,0
2100u,0
2100.001u,0
2130u,0
2130.001u,0
2160u,0
2160.001u,0
2190u,0
2190.001u,0
2220u,0
2220.001u,0
2250u,0
2250.001u,0
2280u,0
